Country,Year,alpha-3,own_con,own_con2,rental_rate,gep_value,CPI,CPI_2020,gep_value_2020
Niger,2012,NER,,8657145.721712112,0.315,2727000.9023393155,91.92722536527158,100.0,2966477.984627094
Niger,2013,NER,,23906114.38971758,0.315,7530426.032761037,94.0390062216933,100.0,8007768.62210597
Niger,2014,NER,21751593.97825516,21751593.97828871,0.315,6851752.103160944,93.16417332738229,100.0,7354492.460404966
Niger,2017,NER,,16720012.804324985,0.315,5266804.03336237,96.7924678853625,100.0,5441336.654005126
Niger,2018,NER,,46756004.728737,0.315,14728141.489552151,99.66488470493285,100.0,14777663.700867346
Niger,2019,NER,42852315.66008572,42852315.660072505,0.315,13498479.43292284,97.1834357299218,100.0,13889691.521542693
Niger,2020,NER,,46283013.552729785,0.315,14579149.269109882,100.0,100.0,14579149.269109882
Niger,2021,NER,,65892228.62256074,0.315,20756052.01610663,103.837868028,100.0,19988904.250720687
Nigeria,2006,NGA,,48087037.122528434,0.315,15147416.693596456,21.93060229186769,100.0,69069770.59728736
Nigeria,2007,NGA,,134183207.67043388,0.315,42267710.41618668,23.112224891003216,100.0,182880318.1672052
Nigeria,2008,NGA,,364687235.2367888,0.315,114876479.09958848,25.78886902908975,100.0,445449852.6864758
Nigeria,2009,NGA,,64003251.169929385,0.315,20161024.118527755,29.022233001472348,100.0,69467515.1891481
Nigeria,2010,NGA,,301023841.774359,0.315,94822510.15892307,33.00990294806694,100.0,287254737.7921809
Nigeria,2011,NGA,,399900065.8876388,0.315,125968520.75460625,36.58360032751052,100.0,344330573.33583194
Nigeria,2012,NGA,,516007520.8666127,0.315,162542369.072983,41.05566790777299,100.0,395907258.01396394
Nigeria,2013,NGA,627793947.5105138,627793947.510936,0.315,197755093.4659449,44.54355972214128,100.0,443958890.35255235
Nigeria,2014,NGA,,764077759.7343204,0.315,240684494.3163109,48.128162993560174,100.0,500090756.3177009
Nigeria,2015,NGA,,496545913.55584383,0.315,156411962.77009082,52.4642385455334,100.0,298130625.93930876
Nigeria,2016,NGA,233397070.0484134,233397070.0484059,0.315,73520077.06524785,60.69945177302844,100.0,121121484.4907647
Nigeria,2017,NGA,,129078436.55703628,0.315,40659707.51546643,70.71623689262415,100.0,57496989.80335211
Nigeria,2018,NGA,,224967564.20305443,0.315,70864782.72396214,79.2694410717226,100.0,89397353.84262902
Nigeria,2019,NGA,311736690.06192696,311736690.06151223,0.315,98197057.36937636,88.30332136281353,100.0,111204262.59609449
Nigeria,2020,NGA,,181255446.44561887,0.315,57095465.63036995,100.0,100.0,57095465.63036995
Nigeria,2021,NGA,,171108792.87971604,0.315,53899269.75711055,116.95284572,100.0,46086326.01052929
Peru,2004,PER,,770327.3564471006,0.083,63937.17058510936,64.51464328485261,100.0,99104.89670198821
Peru,2005,PER,,808471.8417447507,0.083,67103.16286481431,65.55739471520461,100.0,102357.88526424037
Peru,2006,PER,,830318.1493213475,0.083,68916.40639367184,66.87002290334826,100.0,103060.24045076425
Peru,2007,PER,,828954.1155806482,0.083,68803.1915931938,68.06030024813364,100.0,101091.51934733131
Peru,2008,PER,,712696.5596782863,0.083,59153.81445329777,71.99818481346749,100.0,82160.14696280629
Peru,2009,PER,,792242.4230418801,0.083,65756.12111247606,74.11221822130808,100.0,88725.0748805282
Peru,2010,PER,,755340.166652292,0.083,62693.23383214024,75.24489051727792,100.0,83318.92491456874
Peru,2011,PER,,649575.5789451599,0.083,53914.77305244828,77.78012485504942,100.0,69316.90216867553
Peru,2012,PER,,627147.0045433939,0.083,52053.201377101694,80.58893079556333,100.0,64591.00631220607
Peru,2013,PER,,683187.3053232431,0.083,56704.546341829184,82.81954912018932,100.0,68467.58639018724
Peru,2014,PER,,739658.6870888174,0.083,61391.67102837184,85.64530724631817,100.0,71681.30164073996
