Country;Indicator Name;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Ghana;GDP per capita (current US$);405.4249676;477.6008364;904.1697251;1047.199209;1178.955877;1044.005237;1258.963903;1501.059171;1536.619916;2282.407501;1942.921869;1711.271471;1900.397836;1998.722666;2180.029684;2167.92544;2176.576218;2410.877309
Greece;GDP per capita (current US$);21995.47794;22560.14729;24821.93675;28863.97329;32127.98319;29828.75602;26716.64883;25483.88256;21912.99829;21787.78776;21616.71001;18083.87791;17923.96681;18582.08934;19756.99046;19144.28439;17658.9473;20192.5963
Greenland;GDP per capita (current US$);32023.68383;32489.72773;35458.25231;39780.94535;44366.78732;44918.84418;43988.52803;47186.88008;45936.95995;47535.49104;50485.22741;44536.35609;48181.87419;50765.69565;54545.29998;53309.57927;54693.51141;57116.41387
Grenada;GDP per capita (current US$);5470.603315;6308.665042;6295.281172;6790.63408;7343.44527;6810.440318;6760.974884;6775.749278;6900.765076;7205.254765;7726.378262;8379.621847;8849.513535;9309.261296;9574.310271;9887.920742;8437.536782;9010.5128
Guatemala;GDP per capita (current US$);1859.099338;2068.488161;2251.078833;2490.747774;2802.451459;2651.831609;2852.557652;3228.03814;3355.034599;3522.767541;3779.626042;3994.629085;4173.281303;4454.024661;4485.752384;4647.80734;4609.897258;5029.477338
Guinea;GDP per capita (current US$);405.6960598;321.3386332;452.2761597;657.9934738;712.099416;670.2612536;667.2816019;644.5025486;707.9676782;757.6922725;774.5690396;756.4255898;720.4732552;843.4642792;944.4172686;1043.899886;1073.659339;1189.175999
Guinea-Bissau;GDP per capita (current US$);394.995798;425.4718887;418.902079;480.4386022;583.2683059;543.5624692;542.2841012;683.534476;598.5726262;616.1599287;605.1225465;585.9570126;642.6663901;718.2457378;781.6443676;730.6114323;710.258133;795.118605
Guyana;GDP per capita (current US$);1036.019877;1085.784887;3138.082204;3609.908515;4011.386897;4213.816229;4589.87249;4960.004726;5461.390076;5576.250215;5495.377084;5668.429765;5905.380196;6220.978568;6094.909837;6477.296726;6863.074346;9998.544311
Honduras;GDP per capita (current US$);1201.247505;1289.823137;1409.579723;1559.886044;1713.418134;1762.34916;1874.271704;2053.959731;2107.345481;2064.550519;2164.424516;2257.225284;2295.536231;2403.306094;2457.686012;2519.366193;2354.12148;2771.722616
Hong Kong, China;GDP per capita (current US$);24928.10037;26649.63658;28224.09395;30593.95248;31515.52786;30697.53839;32550.13789;35142.48793;36730.79777;38403.77771;40315.37222;42432.16197;43734.19807;46160.42979;48537.56689;48359.00325;46109.22999;49764.79312
Hungary;GDP per capita (current US$);10301.7017;11223.3993;11489.56087;13940.90675;15772.32703;13077.30762;13217.5046;14234.47158;12984.83657;13715.07036;14294.25842;12717.0386;13104.69955;14621.2396;16425.20503;16786.21364;16125.60941;18772.14111
Iceland;GDP per capita (current US$);47334.95313;56794.88022;57492.93425;69495.72674;56943.35966;41301.27943;43237.07295;47714.59223;45995.54788;49804.983;54576.74481;52951.68151;61987.92636;72010.14903;74452.18907;68403.14481;58813.79698;68594.0081
India;GDP per capita (current US$);624.1050944;710.5093449;802.013742;1022.732476;993.5034125;1096.636136;1350.634457;1449.603301;1434.017978;1438.056995;1559.863772;1590.174322;1714.279541;1957.969814;1974.37773;2050.16379;1913.219721;2238.127139
Indonesia;GDP per capita (current US$);1136.755211;1249.397694;1572.79794;1840.329927;2144.389544;2239.095265;3094.443079;3613.800888;3668.212084;3602.885517;3476.624854;3322.581679;3558.818852;3839.785075;3902.661675;4151.227555;3895.618152;4334.215983
Iran, Islamic Rep.;GDP per capita (current US$);2751.793042;3226.613971;3736.177793;4838.003556;5623.911681;5602.556282;6458.573956;8201.581678;8329.002067;6280.681868;5757.543333;4990.936795;5497.243233;5758.590728;3829.829855;3276.753265;2746.419483;4084.200305
Iraq;GDP per capita (current US$);1314.762559;1740.66833;2253.547113;3099.59197;4504.508094;3686.402133;4430.426242;5736.898959;6437.503076;6612.902252;6215.986033;4416.942923;4305.202702;4725.193573;5601.467061;5621.181695;4251.337253;4770.835343
Ireland;GDP per capita (current US$);47754.20232;50933.02161;54329.16186;61396.41746;61353.10656;52133.09062;48663.60044;52183.13293;49054.69743;51546.35476;55643.05943;62053.98444;62895.91112;69970.94891;79250.38785;80927.07467;85420.19086;100172.0793
Israel;GDP per capita (current US$);20557.15507;21223.93559;22494.60002;25633.74961;30173.18336;28316.78537;31266.60532;34354.71612;33156.22832;36941.84236;38259.6811;36206.52222;37690.47395;41114.78171;42406.84543;44452.23256;44846.7916;52166.81216
Italy;GDP per capita (current US$);31317.20079;32055.09208;33529.7266;37870.74751;40944.91242;37226.75719;36035.645;38649.63948;35051.52127;35560.08141;35565.72138;30242.38614;30960.73151;32406.72032;34622.16967;33673.75096;31918.69349;35770.04961
Jamaica;GDP per capita (current US$);3819.284231;4200.388958;4435.571475;4738.449788;5056.258008;4452.120808;4835.791068;5259.931741;5365.242149;5143.722172;4991.564267;5077.551636;5022.703328;5273.148923;5594.493107;5626.170403;4897.26477;5183.5811
Japan;GDP per capita (current US$);38298.98017;37812.89102;35991.54239;35779.01568;39876.3063;41309.00165;44968.15623;48760.07895;49145.28043;40898.6479;38475.39525;34960.63938;39375.47316;38834.05293;39751.1331;40415.95676;39986.92863;39827.12677
Jordan;GDP per capita (current US$);2062.69597;2216.945182;2478.291944;2643.169309;3416.126067;3618.892617;3914.701231;4152.493981;4386.461819;4477.618321;4255.894302;4064.25301;4003.404746;4073.116403;4146.407311;4159.671408;3987.650174;4046.931467
Kazakhstan;GDP per capita (current US$);2874.288483;3771.278957;5291.574022;6771.416639;8458.019498;7165.224794;9070.488253;11633.99856;12386.69927;13890.634;12807.26307;10510.77031;7714.841844;9247.580687;9812.625422;9812.595536;9121.636402;10373.78979
Kenya;GDP per capita (current US$);462.6182158;522.7768371;699.3997381;840.1916319;915.9989157;1049.121794;1093.639628;1099.315465;1289.780795;1376.829206;1489.919724;1496.653568;1562.076611;1675.98843;1845.783413;1970.080063;1936.250752;2069.661137
Kiribati;GDP per capita (current US$);1063.878193;1142.335559;1101.457235;1300.758798;1356.647112;1249.302417;1438.080772;1644.407212;1698.91907;1628.642442;1546.881359;1459.143695;1506.23103;1566.447044;1607.22965;1410.01509;1403.993738;1766.143945
Korea, Rep.;GDP per capita (current US$);16496.12009;19402.50326;21743.47709;24086.41143;21350.42863;19143.85161;23087.22564;25096.26388;25466.76052;27182.73431;29249.57522;28732.23108;29288.87044;31616.8434;33436.92306;31902.4169;31721.29802;34997.78164
Kuwait;GDP per capita (current US$);27601.40006;36144.99495;42970.66313;45729.80604;55595.40848;37906.1503;39212.63528;49010.32037;51271.14865;47762.72232;43239.81365;29315.19607;27026.6482;29258.28964;32012.1352;30666.22066;24297.70114;32186.76541
Kyrgyzstan;GDP per capita (current US$);433.2349766;476.5518917;543.1107031;721.7695263;966.3938474;871.2242201;880.0385141;1123.883136;1177.975258;1282.438247;1279.770777;1121.082691;1120.667061;1242.770223;1308.139779;1374.031136;1182.521506;1306.177992
Lao PDR;GDP per capita (current US$);410.251319;467.3795927;581.0102436;699.0413761;887.6397349;936.7903214;1127.835236;1363.72529;1566.009745;1815.440238;1984.50867;2125.459057;2309.049076;2439.463355;2553.361866;2598.505523;2593.355097;2535.623434
Latvia;GDP per capita (current US$);6378.666521;7594.902384;9723.446902;14113.52913;16467.14369;12331.92855;11420.994;13338.96224;13847.33794;15007.49186;15742.39134;13786.4568;14331.75159;15695.11515;17865.03109;17945.22222;18207.13964;21080.17745
Lebanon;GDP per capita (current US$);4625.304247;4630.009214;4665.962801;5162.032959;5957.696754;7149.791498;7695.245415;7914.109568;8500.180563;8255.209211;7665.379692;7802.751368;8172.299476;8679.897422;9225.845155;8925.42186;5599.957523;4136.146575
Lesotho;GDP per capita (current US$);761.1810388;850.7752709;910.618541;848.0236874;885.6180571;866.4456896;1104.800538;1265.863867;1205.860003;1141.361038;1165.050705;1113.868632;986.2652568;1062.712399;1162.978792;1094.499438;939.5042491;1040.308623
Libya;GDP per capita (current US$);5823.637943;8108.052608;10060.36104;11158.11227;13921.89923;9560.803808;11611.3586;7784.133214;15765.41979;12589.52971;9408.752546;7867.515731;7945.00605;10529.11627;11838.29871;10542.42902;7034.658365;5908.951323
